mean,std,max,min
66.66666666666667,2.8323527714997336,72,61
66.66666666666667,2.611938403221298,72,62
66.66666666666667,1.972026594366539,71,63
66.66666666666667,2.4944382578492945,71,62
66.66666666666667,2.9363620727393656,72,61
66.66666666666667,2.6373387259803316,73,62
66.66666666666667,3.457680661303984,75,60
66.66666666666667,2.038517980189421,70,62
66.66666666666667,3.3993463423951895,75,60
66.66666666666667,3.0037014202850156,74,60
66.66666666666667,2.649947588580239,72,60
66.66666666666667,2.748737083745107,71,61
66.66666666666667,3.080404013906112,73,61
66.66666666666667,2.9589788028229527,74,61
66.66666666666667,2.8087165910587863,73,62
66.66666666666667,2.736583433569839,74,62
66.66666666666667,3.01477841455867,73,60
66.66666666666667,2.9814239699997196,72,59
66.66666666666667,3.2386554137309647,76,61
66.66666666666667,2.1029080394116675,71,62
66.66666666666667,2.586288632169443,71,62
66.66666666666667,2.649947588580239,73,60
66.66666666666667,2.6246692913372702,72,61
66.66666666666667,3.0368111930480994,72,59
66.66666666666667,2.5342103744997617,72,61
66.66666666666667,3.2998316455372216,74,62
66.66666666666667,2.662496739695448,71,61
66.66666666666667,2.5210227201585385,75,63
66.66666666666667,2.4267032964268394,72,62
66.66666666666667,2.3570226039551585,72,63
66.66666666666667,2.902106514623856,74,62
66.66666666666667,3.3993463423951895,75,60
66.66666666666667,2.9021065146238554,74,62
66.66666666666667,3.091206165165234,73,61
66.66666666666667,2.736583433569839,73,61
66.66666666666667,2.038517980189421,72,60
66.66666666666667,2.699794230842212,73,62
66.66666666666667,2.772884579078056,73,61
66.66666666666667,2.342837785440744,72,61
66.66666666666667,1.920648038785058,70,62
66.66666666666667,3.218004902972578,75,61
66.66666666666667,2.507765716507204,73,63
66.66666666666667,2.507765716507204,73,62
66.66666666666667,2.5210227201585385,73,61
66.66666666666667,3.186778240724565,73,61
66.66666666666667,2.481039208790453,72,60
66.66666666666667,2.760837232113154,73,62
66.66666666666667,3.5714920629276996,73,61
66.66666666666667,2.547329756605707,72,62
66.66666666666667,2.7968235951204043,75,61
66.66666666666667,2.712112747574399,71,62
66.66666666666667,3.01477841455867,72,59
66.66666666666667,2.8323527714997336,72,61
66.66666666666667,2.4675674031095665,72,61
66.66666666666667,2.5210227201585385,72,62
66.66666666666667,2.68741924943285,72,60
66.66666666666667,3.5714920629276996,75,59
66.66666666666667,2.9814239699997196,73,61
66.66666666666667,2.736583433569839,72,61
66.66666666666667,3.091206165165234,74,59
66.66666666666667,2.5342103744997617,71,62
66.66666666666667,3.0037014202850156,73,62
66.66666666666667,2.4404006956964173,73,61
66.66666666666667,2.6246692913372702,71,62
66.66666666666667,2.6749870196985173,71,61
66.66666666666667,2.573367875415838,72,62
66.66666666666667,2.2558565754251507,72,63
66.66666666666667,3.7976600983002973,75,60
66.66666666666667,3.4864818306647676,74,59
66.66666666666667,2.992583424995125,72,61
66.66666666666667,2.3990738953928776,71,60
66.66666666666667,2.7968235951204043,73,62
66.66666666666667,3.309917756615042,73,60
66.66666666666667,2.3711225658371653,73,62
66.66666666666667,2.4267032964268394,74,63
66.66666666666667,2.7968235951204043,71,60
66.66666666666667,2.2852182001336816,72,62
66.66666666666667,2.8557933320805198,73,60
66.66666666666667,2.5342103744997617,71,62
66.66666666666667,2.2558565754251507,73,63
66.66666666666667,2.5991451586157237,72,60
66.66666666666667,3.457680661303984,76,61
66.66666666666667,2.195955878933414,71,62
66.66666666666667,3.34995854037363,76,59
66.66666666666667,3.467307633052224,74,61
66.66666666666667,2.9814239699997196,73,62
66.66666666666667,2.760837232113154,72,61
66.66666666666667,2.6749870196985173,75,62
66.66666666666667,2.3570226039551585,71,63
66.66666666666667,3.0586852658545234,72,58
66.66666666666667,2.2558565754251507,72,63
66.66666666666667,3.2795663669996915,76,59
66.66666666666667,2.5991451586157237,73,60
66.66666666666667,2.2997584414213788,71,61
66.66666666666667,2.507765716507204,72,61
66.66666666666667,2.6749870196985173,72,61
66.66666666666667,3.080404013906112,75,62
66.66666666666667,3.238655413730965,74,62
66.66666666666667,2.4129281427805145,73,62
66.66666666666667,2.712112747574399,72,60
