Average Waiting Time_Default(s),Average Waiting Time_Anticipation(s),Difference(s),if Anticipation is better
981.4759908,981.0821249,0.393865866,1
994.1675207,993.7744451,0.393075612,1
991.925391,991.7102104,0.215180592,1
1002.100644,1001.71055,0.390094021,1
981.4637147,981.198563,0.265151752,1
983.8290021,983.2326231,0.596378974,1
1001.146366,1000.697452,0.448914539,1
1000.555339,1000.036742,0.518597056,1
978.7772341,978.4902207,0.287013432,1
985.6162875,985.3165079,0.299779603,1
998.3494919,997.6179628,0.731529096,1
994.9162997,994.6274895,0.288810138,1
989.9763755,989.8613129,0.115062634,1
996.801962,996.3024422,0.499519871,1
982.5809771,982.5762506,0.00472644,1
993.0040257,992.3957941,0.608231678,1
979.8505982,979.7526047,0.097993426,1
988.6782454,988.4776657,0.20057967,1
985.7298559,985.232451,0.497404891,1
998.024635,997.5357399,0.488895126,1
991.9463332,991.7144209,0.231912266,1
987.5364481,987.3502078,0.186240318,1
992.5476798,992.459626,0.088053834,1
1010.48186,1009.460129,1.021731281,1
998.9047599,998.6642061,0.24055376,1
992.9765784,992.3596145,0.616963947,1
994.8862002,994.4947245,0.391475725,1
985.1808128,985.0106117,0.170201098,1
988.1857377,988.1346978,0.051039919,1
981.5135954,981.4205941,0.09300123,1
989.9487359,989.4029763,0.545759598,1
990.4443398,990.0273349,0.417004918,1
985.5961036,985.3794881,0.216615445,1
966.1943083,966.1579606,0.036347709,1
977.0134921,976.8722977,0.1411944,1
1003.312482,1002.889777,0.422705069,1
994.1797932,993.6832772,0.496515973,1
981.0464965,980.9558228,0.090673706,1
980.4578477,980.0919879,0.365859819,1
997.1757284,996.9254158,0.250312596,1
991.7540714,991.5063847,0.247686748,1
994.968878,994.5129771,0.45590088,1
983.1097934,982.8323185,0.277474952,1
1001.501807,1000.753093,0.748714346,1
975.1612816,974.9831091,0.178172433,1
974.5346333,974.5092741,0.025359204,1
980.9256912,980.7473464,0.178344784,1
993.0241437,992.6406239,0.383519826,1
1000.94723,1000.377897,0.56933328,1
994.4697639,993.857901,0.611862949,1
1002.415233,1001.798277,0.616956441,1
986.3454859,985.9293055,0.416180432,1
984.2998358,984.1749804,0.124855414,1
978.1744498,978.1165542,0.057895634,1
994.3018486,993.8662113,0.435637385,1
986.0947014,985.9856744,0.109027034,1
991.3303854,990.9994725,0.330912856,1
1013.23263,1012.09005,1.142579296,1
1005.862867,1005.318952,0.543914213,1
995.2189511,994.9485858,0.270365276,1
983.4112343,983.2692237,0.142010624,1
985.6983362,985.5418681,0.15646806,1
973.7561427,973.7561427,0,0
991.0225265,990.592991,0.429535465,1
992.7785354,992.6435052,0.135030165,1
984.4898192,984.3101091,0.179710183,1
989.2744821,988.9592435,0.315238563,1
980.0982291,980.0837286,0.014500497,1
997.4576589,996.8288401,0.628818879,1
988.2673224,988.1037876,0.163534814,1
988.2587021,988.0598303,0.1988718,1
999.0401088,998.2942101,0.745898671,1
1000.499017,1000.030031,0.468986105,1
974.7336897,974.5358773,0.197812402,1
995.8832711,995.5748034,0.308467728,1
987.0361877,986.7706613,0.265526463,1
986.553797,986.2565034,0.297293681,1
981.6347157,981.4839907,0.150725037,1
993.2947015,992.9556768,0.339024707,1
1002.109029,1000.934535,1.174494188,1
988.2747392,988.1734631,0.101276031,1
994.4472648,994.1689501,0.278314657,1
982.7678035,982.5268756,0.240927892,1
982.3212139,982.220296,0.100917847,1
987.8014167,987.586854,0.214562713,1
988.6566726,988.5377802,0.118892371,1
978.3567153,978.3183823,0.038332934,1
1000.277306,999.8533611,0.423944931,1
988.7655028,988.5933172,0.172185619,1
981.0965393,980.9611618,0.135377509,1
994.0927675,993.5651561,0.527611377,1
982.5740253,982.4493642,0.124661121,1
990.2258528,989.981283,0.244569858,1
982.4085922,982.072715,0.335877245,1
995.5311582,995.244988,0.286170217,1
975.5174942,975.3026426,0.214851582,1
985.6558072,985.5047552,0.151052065,1
990.140424,989.8086769,0.331747099,1
994.797413,994.360649,0.43676397,1
996.6465445,996.4023066,0.24423781,1
989.6182573,989.2965185,0.321738833,0.99
