,30.0,60.0,90.0,120.0,150.0,180.0,210.0,240.0,270.0,300.0,330.0,360.0,390.0,420.0,450.0,480.0,510.0,540.0,570.0,600.0,630.0,660.0,690.0,720.0,750.0,780.0,810.0,840.0,870.0,900.0,930.0,960.0,990.0,1020.0,1050.0,1080.0,1110.0,1140.0,1170.0,1200.0,1230.0,1260.0,1290.0
0,12.83,16.75,21.39,25.94,30.51,34.89,39.47,43.98,48.51,53.11,57.63,62.3,66.6,71.31,75.68,80.24,84.85,89.53,93.91,98.3,102.69,107.11,111.61,116.16,120.49,125.06,129.76,134.19,138.66,142.89,147.31,151.95,156.43,161.01,165.41,170.04,175.6,184.25,200.21,217.0,241.09,266.14,291.83
1,12.71,16.56,21.73,26.54,30.72,35.51,40.15,44.01,48.13,53.41,57.26,61.8,66.83,72.05,76.82,80.83,85.3,90.53,95.09,99.62,103.86,108.18,113.18,116.76,120.72,126.39,129.72,134.41,139.3,143.43,147.02,153.08,157.53,162.2,166.71,171.1,176.95,186.9,198.63,213.73,236.28,262.11,291.83
2,13.32,17.86,23.39,28.95,34.14,39.29,44.55,50.49,55.68,59.88,65.16,71.04,75.2,80.34,84.77,90.41,95.41,100.91,106.32,111.1,116.77,120.91,126.08,131.67,136.87,141.78,146.96,151.58,156.12,160.8,165.79,169.96,174.86,179.7,184.97,191.01,196.42,203.43,212.97,227.07,249.81,278.19,292.61
3,12.23,15.63,19.79,23.06,27.18,30.06,34.17,37.9,41.75,45.81,50.15,54.99,57.89,62.11,65.63,70.29,74.45,77.91,82.63,85.82,90.69,94.35,99.03,102.66,106.24,109.86,115.05,117.54,120.49,123.86,127.97,132.23,136.09,140.99,144.67,148.92,153.9,160.92,182.92,203.58,231.5,260.5,291.05
