,1800,3600,5400,7200,9000,10800,12600,14400,16200,18000,19800,21600,23400,25200,27000,28800,30600,32400,34200,36000,37800,39600,41400,43200,45000,46800,48600,50400,52200,54000,55800,57600,59400,61200,63000,64800,66600,68400,70200,72000,73800,75600,77400
15,743.33,796.56,831.95,982.89,1174.64,1329.54,1472.48,1617.64,1880.93,2087.79,2270.82,2473.26,2748.41,2864.97,2945.27,3099.68,3363.97,3513.16,3730.66,3829.07,4009.54,4291.8,4534.3,4702.21,4950.96,5285.12,5478.73,5722.44,5856.35,5872.93,6110.34,6362.56,6590.64,6846.19,7015.65,7148.8,7317.14,,,,,,
16,767.8,925.22,1109.86,1281.55,1449.71,1696.96,1804.56,2163.45,2432.01,2689.71,2804.97,2982.53,3161.3,3220.14,3452.81,3561.37,3751.12,4033.77,4205.13,4347.36,4464.37,4690.9,4982.93,5158.02,5474.5,5652.85,5952.31,6266.89,6419.61,6743.32,6950.99,7322.2,7434.3,7629.09,7777.22,8030.23,8246.96,8435.92,,,,,
17,852.88,993.63,1416.45,1809.69,2208.78,2639.19,2969.32,3395.96,3684.13,4136.98,4504.38,4802.99,5080.22,5470.86,5726.8,6045.1,6371.75,6952.82,7164.28,7534.31,7941.95,8207.26,8554.99,8840.6,9188.45,9707.93,10047.06,10533.25,10942.98,11294.29,11670.16,12061.08,12463.35,12730.72,13033.95,13471.84,13846.4,14167.87,14601.79,14969.14,15091.36,15637.18,
18,744.52,1029.26,1243.02,1543.56,1840.25,2240.52,2541.68,2831.93,3106.94,3476.71,3737.92,4041.25,4392.84,4686.27,5141.98,5491.22,5723.92,6053.21,6414.51,6681.12,6850.6,7055.74,7361.54,7535.56,7937.53,8158.12,8425.62,8720.68,8916.47,9103.02,9306.66,9607.04,9825.11,10052.41,10349.42,10701.16,11082.75,11438.86,11589.49,,,,
19,807.99,1110.72,1482.48,1844.28,2137.05,2487.92,2754.91,3112.84,3363.48,3483.77,3754.07,4029.52,4447.32,4613.51,4901.46,5124.09,5363.49,5483.21,5868.36,6264.5,6784.57,7066.21,7265.66,7737.87,8037.5,8261.3,8679.37,9040.79,9445.32,9704.04,10000.85,10429.94,10800.44,11286.79,11636.82,12069.99,12422.03,12733.45,13169.03,13400.23,13873.4,,
20,799.13,1162.55,1519.44,1873.85,2214.92,2532.09,2926.04,3177.5,3467.49,3761.05,4148.87,4572.78,5068.27,5542.62,5730.89,6103.81,6381.22,6720.15,7029.92,7400.94,7732.51,8108.71,8420.47,8699.63,8941.39,9145.31,9472.75,9783.81,10097.9,10314.12,10580.06,10961.32,11416.31,11803.04,12002.82,12443.97,12757.14,13038.78,13460.39,13939.58,14177.06,,
21,775.41,933.02,1137.79,1388.14,1657.61,1985.98,2199.45,2538.08,2946.11,3222.24,3378.78,3669.78,3798.16,4125.37,4310.11,4609.54,4861.31,5140.13,5375.85,5519.48,5725.2,6100.13,6467.46,6637.56,6711.07,6893.13,7148.54,7501.29,7753.61,7974.99,8232.18,8523.81,8846.09,9090.99,9372.29,9590.55,9863.74,10097.3,10355.2,,,,
22,732.0,1070.3,1332.59,1657.89,1970.14,2291.23,2654.27,2801.24,2974.19,3272.41,3512.3,3700.92,3923.69,4219.25,4356.13,4611.62,4924.4,5159.7,5437.58,5594.48,5683.61,5988.82,6058.34,6358.62,6535.39,6768.87,6965.11,7294.24,7587.93,7985.58,8300.94,8506.6,8602.83,8818.05,8953.74,9220.34,9486.6,9749.5,10138.39,,,,
23,724.68,968.09,1251.91,1374.04,1759.72,2150.77,2590.8,2856.32,3188.29,3539.08,3897.17,4271.73,4595.92,4825.24,5188.98,5513.32,5880.92,6109.33,6551.93,6756.16,7026.42,7272.28,7390.67,7555.13,7791.08,8213.06,8528.06,8787.67,9142.08,9448.39,9929.03,10229.64,10569.45,10781.53,11020.37,11348.66,11587.12,11879.83,12186.97,12494.21,,,
24,719.77,985.13,1183.21,1363.82,1603.37,1745.45,1994.54,2148.62,2340.95,2543.21,2816.49,3090.95,3471.29,3734.68,4012.71,4331.62,4650.71,4965.48,5122.35,5452.53,5642.71,5877.48,6143.88,6297.63,6531.29,6702.71,6949.36,7055.62,7106.55,7370.71,7808.78,8163.41,8534.35,8759.43,9010.36,9211.33,9341.81,9393.23,,,,,
