Average Waiting Time_Default(s),Average Waiting Time_Anticipation(s),Difference(s),
1003.72941,998.2420026,5.487407535,1
991.9426509,991.8496058,0.093045154,1
990.0367041,990.3767184,-0.340014235,0
1016.429992,1018.257771,-1.827779411,0
1005.721717,1011.626004,-5.90428756,0
1009.252668,1006.716858,2.535809667,1
1010.405278,1013.689857,-3.28457891,0
989.4565561,995.486541,-6.029984914,0
1011.77931,1014.39401,-2.614700124,0
1020.766483,1023.304687,-2.538204376,0
1028.794443,1025.939501,2.854941685,1
1015.312964,1017.427753,-2.114789083,0
1011.685653,1016.049567,-4.363914079,0
994.7154669,995.7276124,-1.012145453,0
1006.45671,1004.481755,1.974955408,1
999.5994891,1000.558427,-0.958938205,0
1016.057774,1012.238952,3.818821737,1
1027.360475,1028.460919,-1.100444359,0
1013.670148,1011.239668,2.430479477,1
1043.306169,1048.040814,-4.734644928,0
1007.9972,1011.08312,-3.08592069,0
1048.367189,1043.258158,5.109030364,1
975.1083294,978.8107116,-3.702382147,0
962.5145016,966.861611,-4.34710945,0
1031.367498,1034.552407,-3.184909645,0
1004.793905,1006.666,-1.872094106,0
1018.336768,1021.274771,-2.938002609,0
1001.438855,1000.067458,1.371396929,1
1002.33401,1007.34667,-5.012659683,0
997.3477599,993.5634783,3.784281692,1
1014.04124,1018.181267,-4.140027341,0
998.8981662,1000.866017,-1.967851083,0
1008.375907,1012.275646,-3.899739116,0
1026.715547,1022.275977,4.439569819,1
981.9823538,980.5166985,1.46565534,1
1002.428125,1004.987839,-2.559714319,0
1001.342407,1007.659996,-6.317588805,0
988.204849,984.6893532,3.515495752,1
994.6573457,995.8581007,-1.200754959,0
962.8617875,968.0987446,-5.236957136,0
977.2838253,980.2610206,-2.977195272,0
997.3115247,996.4472067,0.864317928,1
1003.866731,1012.632867,-8.766136187,0
1000.238508,1000.839354,-0.600845993,0
977.4920467,976.1373786,1.35466804,1
1001.130713,1003.784942,-2.654228751,0
994.829669,990.1941916,4.635477434,1
962.3315125,961.3120252,1.01948734,1
1003.9549,1004.92395,-0.969049842,0
990.2628328,989.0968949,1.165937936,1
953.1247859,955.7295307,-2.60474477,0
960.435156,960.837087,-0.401931023,0
941.9431271,942.2803933,-0.337266178,0
988.4056492,987.8164548,0.589194435,1
986.7061516,988.1087777,-1.402626107,0
1018.79872,1021.460193,-2.661473004,0
995.7420028,996.8510432,-1.109040338,0
995.5157692,993.8486646,1.667104545,1
984.779753,985.0222145,-0.242461574,0
998.5483356,998.318523,0.229812567,1
1019.170869,1020.519268,-1.348399608,0
1005.485516,1005.76504,-0.27952417,0
1038.635654,1040.853362,-2.217707358,0
1006.844905,1000.672722,6.172182708,1
1019.850326,1020.125717,-0.275390689,0
978.3393998,977.7542547,0.585145135,1
981.8322342,983.7026061,-1.87037191,0
990.3759002,996.9974029,-6.621502659,0
998.3535801,999.0911509,-0.737570798,0
997.7712396,997.4784019,0.292837719,1
1018.896381,1017.097549,1.798832438,1
989.9904569,987.4857047,2.504752182,1
1010.836853,1005.510819,5.326033842,1
977.5618891,981.5904077,-4.028518583,0
1011.74969,1017.673376,-5.923686378,0
993.0286934,991.3853961,1.643297337,1
983.7864302,981.9541734,1.83225671,1
1032.877277,1030.512192,2.365084899,1
1000.626775,1009.0834,-8.456624922,0
1042.975389,1037.289162,5.686227234,1
987.1466487,989.6734642,-2.526815448,0
985.0414048,981.8216674,3.219737423,1
985.0828196,983.6145538,1.468265828,1
1002.900423,997.2352044,5.665218145,1
954.3132261,953.8337628,0.479463294,1
978.8247395,979.4609307,-0.636191182,0
972.6261766,976.2865573,-3.660380667,0
988.9105434,986.682715,2.227828383,1
1013.600395,1012.17431,1.426085191,1
991.7851769,993.2984785,-1.513301572,0
954.0163372,961.3817491,-7.365411853,0
1001.170814,1005.165482,-3.994668198,0
1017.768049,1015.643787,2.124261654,1
998.9913536,996.3062914,2.685062145,1
1004.98496,1003.536731,1.448228769,1
997.5773472,997.6629494,-0.08560223,0
1009.09062,1009.215763,-0.125142913,0
1048.801931,1047.44885,1.353081398,1
1011.747581,1016.985033,-5.237452118,0
975.2572785,978.1787499,-2.921471385,0
,,,41
