DR_anticipation,DR_default
0.0,0.3165
0.0,0.2895
0.0,0.2225
0.0,0.241
0.0,0.317
0.0,0.289
0.0,0.2815
0.0,0.2855
0.0,0.2735
0.0,0.2905
0.0,0.3185
0.0,0.264
0.0,0.3025
0.0,0.2535
0.0,0.3035
0.0,0.2715
0.0,0.272
0.0,0.2465
0.0,0.288
0.0,0.232
0.0,0.232
0.0,0.301
0.0,0.2905
0.0,0.2905
0.0,0.271
0.0,0.2775
0.0,0.3015
0.0,0.279
0.0,0.305
0.0,0.2515
0.0,0.293
0.0,0.325
0.0,0.2545
0.0,0.259
0.0,0.278
0.0,0.28
0.0,0.2845
0.0,0.296
0.0,0.2935
0.0,0.292
0.0,0.3205
0.0,0.29
0.0,0.2815
0.0,0.315
0.0,0.281
0.0,0.286
0.0,0.2555
0.0,0.2525
0.0,0.2755
0.0,0.2735
0.0,0.2535
0.0,0.2585
0.0,0.3035
0.0,0.2505
0.0,0.263
0.0,0.246
0.0,0.3145
0.0,0.3005
0.0,0.2585
0.0,0.285
0.0,0.299
0.0,0.2885
0.0,0.281
0.0,0.26
0.0,0.2635
0.0,0.302
0.0,0.3035
0.0,0.303
0.0,0.26
0.0,0.2625
0.0,0.2915
0.0,0.2455
0.0,0.273
0.0,0.3195
0.0,0.282
0.0,0.2605
0.0,0.255
0.0,0.2615
0.0,0.326
0.0,0.2585
0.0,0.282
0.0,0.241
0.0,0.314
0.0,0.2495
0.0,0.243
0.0,0.299
0.0,0.269
0.0,0.299
0.0,0.2875
0.0,0.317
0.0,0.2665
0.0,0.2995
0.0,0.2995
0.0,0.199
0.0,0.269
0.0,0.2525
0.0,0.2605
0.0,0.3265
0.0,0.276
0.0,0.3015
