DR_anticipation,DR_default
0.0,0.019
0.0,0.023
0.0,0.0385
0.0,0.0715
0.0,0.0385
0.0,0.044
0.0,0.0095
0.0,0.033
0.0,0.0375
0.0,0.0165
0.0,0.0395
0.0,0.045
0.0,0.02
0.0,0.0065
0.0,0.012
0.0,0.003
0.0,0.053
0.0,0.047
0.0,0.0355
0.0,0.0145
0.0,0.023
0.0,0.026
0.0,0.0045
0.0,0.0065
0.0,0.04
0.0,0.0395
0.0,0.033
0.0,0.0565
0.0,0.0355
0.0,0.054
0.0,0.0165
0.0,0.065
0.0,0.015
0.0,0.011
0.0,0.0715
0.0,0.021
0.0,0.045
0.0,0.0035
0.0,0.039
0.0,0.049
0.0,0.053
0.0,0.0115
0.0,0.0185
0.0,0.0625
0.0,0.0245
0.0,0.031
0.0,0.0565
0.0,0.0085
0.0,0.044
0.0,0.048
0.0,0.0265
0.0,0.0255
0.0,0.0285
0.0,0.0215
0.0,0.049
0.0,0.0195
0.0,0.02
0.0,0.014
0.0,0.042
0.0,0.0305
0.0,0.015
0.0,0.024
0.0,0.0285
0.0,0.0165
0.0,0.0125
0.0,0.0265
0.0,0.105
0.0,0.017
0.0,0.0195
0.0,0.037
0.0,0.041
0.0,0.01
0.0,0.016
0.0,0.0165
0.0,0.015
0.0,0.031
0.0,0.033
0.0,0.0695
0.0,0.0355
0.0,0.006
0.0,0.0065
0.0,0.041
0.0,0.015
0.0,0.02
0.0,0.0155
0.0,0.03
0.0,0.0155
0.0,0.014
0.0,0.0485
0.0,0.026
0.0,0.0095
0.0,0.0295
0.0,0.0395
0.0,0.005
0.0,0.015
0.0,0.0655
0.0,0.069
0.0,0.024
0.0,0.0275
0.0,0.0135
