DR_anticipation,DR_default
0.0,0.342
0.0,0.3845
0.0,0.3885
0.0,0.3085
0.0,0.342
0.0,0.361
0.0,0.3045
0.0,0.351
0.0,0.4095
0.0,0.3695
0.0,0.3345
0.0,0.3325
0.0,0.3415
0.0,0.3315
0.0,0.3185
0.0,0.337
0.0,0.3205
0.0,0.314
0.0,0.3845
0.0,0.3615
0.0,0.3415
0.0,0.348
0.0,0.364
0.0,0.34
0.0,0.337
0.0,0.346
0.0,0.321
0.0,0.368
0.0,0.334
0.0,0.3705
0.0,0.3745
0.0,0.364
0.0,0.3495
0.0,0.3585
0.0,0.351
0.0,0.3425
0.0,0.3485
0.0,0.3655
0.0,0.339
0.0,0.2905
0.0,0.361
0.0,0.337
0.0,0.3465
0.0,0.342
0.0,0.323
0.0,0.3445
0.0,0.333
0.0,0.3525
0.0,0.3565
0.0,0.3405
0.0,0.3325
0.0,0.378
0.0,0.3495
0.0,0.3465
0.0,0.355
0.0,0.323
0.0,0.3485
0.0,0.3695
0.0,0.347
0.0,0.323
0.0,0.359
0.0,0.3335
0.0,0.34
0.0,0.3665
0.0,0.3425
0.0,0.312
0.0,0.338
0.0,0.3775
0.0,0.344
0.0,0.3355
0.0,0.3635
0.0,0.3255
0.0,0.335
0.0,0.3375
0.0,0.36
0.0,0.372
0.0,0.379
0.0,0.345
0.0,0.342
0.0,0.367
0.0,0.319
0.0,0.3045
0.0,0.354
0.0,0.347
0.0,0.356
0.0,0.357
0.0,0.3235
0.0,0.385
0.0,0.358
0.0,0.3775
0.0,0.3785
0.0,0.31
0.0,0.34
0.0,0.346
0.0,0.3465
0.0,0.317
0.0,0.3555
0.0,0.329
0.0,0.328
0.0,0.3595
