DR_anticipation,DR_default
0.0,0.1545
0.0,0.1525
0.0,0.2035
0.0,0.1715
0.0,0.1905
0.0,0.1525
0.0,0.183
0.0,0.204
0.0,0.206
0.0,0.138
0.0,0.196
0.0,0.134
0.0,0.097
0.0,0.11
0.0,0.1305
0.0,0.1535
0.0,0.1195
0.0,0.1535
0.0,0.1545
0.0,0.094
0.0,0.162
0.0,0.13
0.0,0.1275
0.0,0.1925
0.0,0.1635
0.0,0.168
0.0,0.1595
0.0,0.16
0.0,0.1565
0.0,0.1405
0.0,0.177
0.0,0.1705
0.0,0.132
0.0,0.1755
0.0,0.129
0.0,0.162
0.0,0.12
0.0,0.1195
0.0,0.1585
0.0,0.1345
0.0,0.1545
0.0,0.1205
0.0,0.0895
0.0,0.1155
0.0,0.135
0.0,0.157
0.0,0.127
0.0,0.21
0.0,0.149
0.0,0.161
0.0,0.1255
0.0,0.1935
0.0,0.0765
0.0,0.152
0.0,0.137
0.0,0.15
0.0,0.1745
0.0,0.18
0.0,0.1165
0.0,0.16
0.0,0.1445
0.0,0.1855
0.0,0.151
0.0,0.115
0.0,0.169
0.0,0.1375
0.0,0.1845
0.0,0.1105
0.0,0.154
0.0,0.1335
0.0,0.197
0.0,0.168
0.0,0.1705
0.0,0.2125
0.0,0.142
0.0,0.1535
0.0,0.127
0.0,0.1315
0.0,0.131
0.0,0.199
0.0,0.1655
0.0,0.1495
0.0,0.1675
0.0,0.1615
0.0,0.187
0.0,0.0795
0.0,0.1895
0.0,0.137
0.0,0.099
0.0,0.2125
0.0,0.14
0.0,0.0985
0.0,0.1745
0.0,0.1885
0.0,0.178
0.0,0.149
0.0,0.1265
0.0,0.2075
0.0,0.121
0.0,0.168
