mean,std,max,min
61.233333333333334,2.4451766580124406,67,57
63.06666666666667,2.768071932270226,69,58
61.6,3.1368774282716245,67,55
62.1,3.025998457809697,69,57
63.166666666666664,3.055959569249713,69,58
61.6,3.52703841770968,69,56
63.1,3.155418619877031,69,56
62.333333333333336,3.6636351104090896,71,54
61.13333333333333,3.0302181806302695,68,55
61.266666666666666,2.9657301892713632,68,56
61.333333333333336,2.958978802822953,66,53
62.4,3.3526109228480423,69,57
62.13333333333333,2.513076909996102,66,56
63.3,3.287856444554719,69,56
62.266666666666666,3.0324174441451093,70,58
62.733333333333334,3.949120858565303,69,56
63.166666666666664,3.17367645203827,69,55
62.9,2.902297940138699,70,57
60.766666666666666,2.6917569644296555,66,55
62.166666666666664,2.733536577809454,69,58
62.53333333333333,2.642389491014188,67,57
63.4,3.912373533632323,70,56
62.233333333333334,3.179972047396364,68,55
62.666666666666664,2.8674417556808756,67,55
62.733333333333334,3.749962962780062,71,55
61.2,3.4679484809706542,69,55
62.03333333333333,2.869184940400709,70,56
62.6,2.65329983228432,67,58
62.833333333333336,2.852873794770615,70,59
60.03333333333333,2.971905486757986,65,54
