Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,,DT,,fmt
71,2227,9,2413.986631,3091.075989,864.0759895,,677.0893589,,186.9866305
72,2253,2,2421.442869,2885.892005,632.8920047,,464.4491361,,168.4428687
73,2286,1,2586.193271,3299.013725,1013.013725,,712.8204543,,300.1932711
74,2310,33,2481.828403,3332.170687,1022.170687,,850.342284,,171.8284028
75,2339,13,2555.448608,2736.548028,397.5480284,,181.0994202,,216.4486082
76,2366,17,2577.123187,2829.537529,463.5375287,,252.4143419,,211.1231868
77,2399,6,2610.683726,3180.028964,781.0289643,,569.345238,,211.6837263
78,2431,19,2838.829621,3142.745728,711.7457281,,303.9161068,,407.8296213
79,2460,28,2586.732001,2743.735185,283.7351854,,157.0031847,,126.7320007
80,2495,27,2746.340407,3183.207663,688.2076633,,436.8672567,,251.3404066
81,2531,24,2593.64982,2888.893787,357.8937873,,295.2439669,,62.64982043
82,2567,11,2698.244047,3255.352654,688.3526545,,557.108607,,131.2440475
83,2597,22,2919.262316,3294.316978,697.3169782,,375.0546627,,322.2623155
84,2634,29,2870.381048,3285.943318,651.943318,,415.5622697,,236.3810483
85,2663,18,2768.019046,3262.918025,599.9180255,,494.8989796,,105.0190459
86,2688,20,3244.450357,3607.472395,919.4723951,,363.0220379,,556.4503572
87,2719,15,2779.539243,3250.509519,531.5095185,,470.9702751,,60.53924347
88,2751,0,3026.856847,3339.410842,588.4108423,,312.5539953,,275.8568469
89,2792,30,2901.895405,3602.799107,810.7991072,,700.9037024,,109.8954048
90,2827,12,3122.611231,3603.551976,776.551976,,480.9407448,,295.6112312
91,2856,28,3234.060842,4149.877417,1293.877417,,915.8165755,,378.0608417
92,2886,13,3194.804145,3564.248322,678.2483222,,369.4441771,,308.804145
93,2912,23,3127.615398,3840.868509,928.8685091,,713.2531108,,215.6153983
94,2953,24,3232.631901,3618.804142,665.8041423,,386.1722414,,279.6319009
95,2976,2,3018.801869,3426.372722,450.3727219,,407.5708527,,42.80186912
96,3010,16,3122.605506,3864.571139,854.5711387,,741.9656326,,112.6055061
97,3036,8,3378.982507,3998.680014,962.6800137,,619.6975069,,342.9825068
98,3073,34,3397.616697,4359.511182,1286.511182,,961.8944849,,324.616697
99,3097,10,3269.200465,3822.707465,725.7074654,,553.5070009,,172.2004646
,,,,,,,,,
,,,,,,avg,499.4917678,,206.6475799
