Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,,DT,,"fmt = max(fpt, r2r)"
71,2227,20,2811.059072,3488.148431,1261.148431,,677.0893589,,584.0590724
72,2253,22,2356.580886,2821.030022,568.0300223,,464.4491361,,103.5808863
73,2286,22,2467.79659,3180.617044,894.6170439,,712.8204543,,181.7965896
74,2310,22,2985.083699,3835.425983,1525.425983,,850.342284,,675.0836985
75,2339,2,2523.14125,2704.24067,365.2406703,,181.0994202,,184.1412501
76,2366,2,2891.848838,3144.26318,778.2631795,,252.4143419,,525.8488376
77,2399,2,2651.414342,3220.75958,821.7595799,,569.345238,,252.4143419
78,2431,16,2566.074054,2869.990161,438.9901606,,303.9161068,,135.0740538
79,2460,16,2716.16401,2873.167195,413.1671946,,157.0031847,,256.16401
80,2495,16,2771.682128,3208.549385,713.5493848,,436.8672567,,276.6821281
81,2531,16,2858.757532,3154.001499,623.0014992,,295.2439669,,327.7575323
82,2567,16,2791.118272,3348.226879,781.2268794,,557.108607,,224.1182723
83,2597,2,3075.006276,3450.060939,853.0609388,,375.0546627,,478.0062761
84,2634,30,2658.083189,3073.645459,439.6454589,,415.5622697,,24.08318916
85,2663,27,2865.299283,3360.198263,697.1982628,,494.8989796,,202.2992832
86,2688,15,2789.00495,3152.026988,464.0269883,,363.0220379,,101.0049504
87,2719,15,3154.588108,3625.558383,906.5583833,,470.9702751,,435.5881082
88,2751,15,3113.581025,3426.135021,675.1350208,,312.5539953,,362.5810254
89,2792,15,3231.877256,3932.780958,1140.780958,,700.9037024,,439.8772556
90,2827,29,2932.019046,3412.959791,585.9597907,,480.9407448,,105.0190459
91,2856,1,2952.668277,3868.484852,1012.484852,,915.8165755,,96.66827683
92,2886,29,3116.841937,3486.286114,600.2861144,,369.4441771,,230.8419373
93,2912,20,3197.632631,3910.885742,998.8857419,,713.2531108,,285.6326312
94,2953,2,3407.190489,3793.36273,840.36273,,386.1722414,,454.1904887
95,2976,32,3227.199124,3634.769977,658.7699769,,407.5708527,,251.1991242
96,3010,16,3270.324797,4012.29043,1002.29043,,741.9656326,,260.3247971
97,3036,33,3262.152603,3881.85011,845.8501102,,619.6975069,,226.1526033
98,3073,33,3331.242134,4293.136619,1220.136619,,961.8944849,,258.2421344
99,3097,33,3652.630273,4206.137274,1109.137274,,553.5070009,,555.6302728
,,,,,,,,,
,,,,,,avg,499.4917678,avg,223.9684016
