Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery
0,22,18,60.47076812334269,826.0927375050996,804.0927375050996,765.6219693817569,38.47076812334274
1,50,24,170.9173271289107,1159.0438372479339,1109.0438372479339,988.1265101190231,120.91732712891076
2,81,14,121.79215610874228,518.5011174393379,437.5011174393379,396.7089613305956,40.79215610874229
3,100,23,189.9388681271896,836.0572783276729,736.0572783276729,646.1184102004833,89.93886812718961
4,131,22,272.59802258506295,486.6307303659066,355.6307303659066,214.03270778084362,141.59802258506295
5,164,8,199.35533905932738,1113.2360752607203,949.2360752607203,913.8807362013929,35.355339059327434
6,198,3,356.3192976235051,573.7888357202235,375.78883572022346,217.46953809671834,158.31929762350512
7,233,13,416.3575741549828,787.7872444830275,554.7872444830275,371.4296703280447,183.35757415498279
8,258,10,512.691970819655,1150.3823345542814,892.3823345542814,637.6903637346264,254.691970819655
9,286,9,445.84992962150466,569.3043746609604,283.30437466096043,123.45444503945578,159.84992962150466
10,320,19,459.6065901023301,1051.793216091131,731.793216091131,592.1866259888009,139.60659010233007
11,352,0,393.4366987102013,701.803363575261,349.80336357526096,308.36666486505965,41.43669871020131
12,385,1,547.1511640414585,1227.5752964765156,842.5752964765156,680.4241324350571,162.15116404145851
13,414,2,699.4277491765648,1373.035943901065,959.0359439010649,673.6081947245001,285.4277491765648
14,441,21,782.4805997417716,1156.007037895753,715.007037895753,373.5264381539814,341.4805997417716
15,468,17,752.2006333560853,1348.0345028197135,880.0345028197135,595.8338694636282,284.2006333560853
16,507,4,878.3892836364561,1362.8240057611197,855.8240057611197,484.4347221246636,371.38928363645607
17,530,7,934.1150826188006,1415.0516688752425,885.0516688752425,480.93658625644196,404.11508261880056
18,563,22,977.8156216923369,1904.1125503280741,1341.1125503280741,926.2969286357372,414.8156216923369
19,591,11,984.4183523934795,1578.0655540208434,987.0655540208434,593.6472016273639,393.4183523934795
20,620,16,676.7274184147313,1012.3656164792544,392.3656164792544,335.63819806452307,56.727418414731346
21,645,14,1041.7089613305957,1408.1458590360533,763.1458590360533,366.43689770545757,396.7089613305957
22,672,6,947.230812228573,1583.7156902893169,911.7156902893169,636.4848780607439,275.230812228573
23,701,3,1032.0015105705713,1175.284447447228,474.2844474472281,143.28293687665678,331.0015105705713
24,727,0,1035.3666648650596,1517.715086651635,790.7150866516349,482.3484217865753,308.36666486505965
25,760,9,947.4593289223025,1543.0716189231048,783.0716189231048,595.6122900008023,187.45932892230246
26,788,20,1225.1384220129821,1430.569675720883,642.569675720883,205.43125370790085,437.1384220129821
27,822,5,947.9245806028355,1491.3102631525326,669.3102631525326,543.3856825496971,125.92458060283548
28,868,13,1150.4535360019413,1544.6539926226815,676.6539926226815,394.20045662074017,282.4535360019413
29,901,23,1040.2012930974422,2027.162791839921,1126.162791839921,986.9614987424789,139.2012930974422
30,923,18,1103.0,1965.0092806924993,1042.0092806924993,862.0092806924993,180.0
31,965,15,1830.0780311625072,2135.4466608545567,1170.4466608545567,305.3686296920496,865.0780311625072
32,991,12,1391.7655174787371,1745.733030112312,754.733030112312,353.96751263357487,400.76551747873714
33,1023,16,1773.8408619674346,2354.3242811966147,1331.3242811966147,580.4834192291801,750.8408619674346
34,1050,19,1374.5376970664065,1772.7901295762406,722.7901295762406,398.2524325098341,324.5376970664065
35,1081,8,2001.183145755353,2783.9129842053762,1702.9129842053762,782.7298384500232,920.183145755353
36,1124,10,1992.7035321980306,2614.12931215892,1490.1293121589201,621.4257799608895,868.7035321980306
37,1162,24,1677.3532768887767,2051.2529960649217,889.2529960649217,373.899719176145,515.3532768887767
38,1202,21,1571.2830892418444,2451.5069244110587,1249.5069244110587,880.2238351692142,369.28308924184444
39,1226,3,1369.2829368766568,1716.4342007372397,490.43420073723973,347.15126386058296,143.28293687665678
40,1247,1,2045.4835627613134,2528.7402233465555,1281.7402233465555,483.2566605852421,798.4835627613134
41,1286,17,2388.0075793942947,3078.025695098513,1792.025695098513,690.0181157042184,1102.0075793942947
42,1332,4,1823.0598148850947,2690.7244966602607,1358.7244966602607,867.664681775166,491.05981488509474
43,1351,2,2032.3264716655704,3040.4122815051887,1689.4122815051887,1008.0858098396184,681.3264716655704
44,1383,14,2063.7715144218078,2591.488294522649,1208.488294522649,527.7167801008413,680.7715144218078
45,1415,7,2101.6119357127577,2685.3687343883703,1270.3687343883703,583.7567986756126,686.6119357127577
46,1446,20,1907.1117001334926,2209.391371960759,763.391371960759,302.2796718272664,461.1117001334926
47,1472,5,2052.202409647739,2372.74101886666,900.7410188666599,320.538609218921,580.2024096477389
48,1496,0,2351.5094258024833,2708.7894280416235,1212.7894280416235,357.28000223914023,855.5094258024833
49,1527,9,2418.5372093377136,2798.3332072102558,1271.3332072102558,379.7959978725421,891.5372093377136
50,1555,13,2114.7972847379665,2727.7777085689404,1172.7777085689404,612.9804238309739,559.7972847379665
51,1593,11,2052.0250537824704,2297.0985121577096,704.0985121577096,245.07345837523917,459.0250537824704
52,1619,6,2371.7874866122575,3324.7958811188328,1705.7958811188328,953.0083945065753,752.7874866122575
53,1644,3,2117.394298502591,2505.730493055713,861.7304930557129,388.3361945531219,473.394298502591
54,1670,12,1948.9324395602728,2487.4953421074124,817.4953421074124,538.5629025471396,278.93243956027277
55,1701,19,2194.245939833971,2380.9274868599155,679.9274868599155,186.68154702594438,493.2459398339711
56,1736,22,2830.409478963811,3598.3814836618994,1862.3814836618994,767.9720046980883,1094.4094789638111
57,1765,18,2057.6645557716874,2422.6645557716874,657.6645557716874,365.0,292.66455577168745
58,1803,23,2533.385075031801,3026.6132169701946,1223.6132169701946,493.2281419383935,730.3850750318011
59,1838,24,2690.2600382796377,2812.6732728582565,974.6732728582565,122.41323457861881,852.2600382796377
60,1864,15,2706.6856651250982,3519.2107416612016,1655.2107416612016,812.5250765361034,842.6856651250982
61,1898,20,2344.391371960759,2663.5919358700353,765.5919358700353,319.2005639092763,446.391371960759
