,30.0,60.0,90.0,120.0,150.0,180.0,210.0,240.0,270.0,300.0,330.0,360.0,390.0,420.0,450.0,480.0,510.0,540.0,570.0,600.0,630.0,660.0,690.0,720.0,750.0,780.0,810.0,840.0,870.0,900.0,930.0,960.0,990.0
0,11.18,13.77,13.94,13.45,14.33,13.59,13.77,13.33,13.55,13.09,14.69,13.58,13.85,14.11,14.36,14.65,13.92,14.27,13.96,12.32,13.82,13.4,13.54,12.93,13.65,14.05,14.03,14.77,13.92,16.98,17.1,15.34,14.12
1,11.18,13.77,13.94,13.45,14.33,13.59,13.77,13.33,13.55,13.09,14.69,13.58,13.85,14.11,14.36,14.65,13.92,14.27,13.96,12.32,13.82,13.4,13.54,12.93,13.65,14.05,14.03,14.77,13.92,16.98,17.1,15.34,14.12
2,11.18,13.77,13.94,13.45,14.33,13.59,13.77,13.33,13.55,13.09,14.69,13.58,13.85,14.11,14.36,14.65,13.92,14.27,13.96,12.32,13.82,13.4,13.54,12.93,13.65,14.05,14.03,14.77,13.92,16.98,17.1,15.34,14.12
3,11.18,13.77,13.94,13.45,14.33,13.59,13.77,13.33,13.55,13.09,14.69,13.58,13.85,14.11,14.36,14.65,13.92,14.27,13.96,12.32,13.82,13.4,13.54,12.93,13.65,14.05,14.03,14.77,13.92,16.98,17.1,15.34,14.12
