,"Average WT, anticipation",WT_minimum,Ratio
0,895.8508166,519.0364091,1.726
1,873.503046,529.4017178,1.65
2,902.6007241,542.8489686,1.663
3,881.7207309,525.3184147,1.678
4,849.5279359,481.2493956,1.765
5,892.9929946,516.9262104,1.728
6,931.0641578,530.9263727,1.754
7,903.2787289,523.4890002,1.725
8,951.4682605,564.2184381,1.686
9,894.571973,530.33739,1.687
10,871.0395475,530.8504631,1.641
11,871.2532959,525.7836267,1.657
12,894.4754396,515.3826441,1.736
13,896.565614,523.1874932,1.714
14,901.0309746,529.4780141,1.702
15,858.8463534,507.4196316,1.693
16,836.2137573,506.8456332,1.65
17,937.8743166,527.9521538,1.776
18,871.3972667,508.2414904,1.715
19,920.3622126,552.3322631,1.666
20,894.245351,530.313321,1.686
21,850.1684491,503.3446844,1.689
22,844.7034034,507.2992576,1.665
23,855.0092529,499.890502,1.71
24,925.6932573,537.5532609,1.722
25,921.4551923,553.0226079,1.666
26,851.7844839,519.2414938,1.64
27,865.5421406,523.8028088,1.652
28,988.7744955,554.6227154,1.783
29,892.1393278,555.6563051,1.606
30,875.6854981,526.819315,1.662
31,893.6637495,528.8412912,1.69
32,868.5095023,532.5591699,1.631
33,951.9815373,547.05454,1.74
34,897.4618599,523.1183786,1.716
35,890.375718,541.8780477,1.643
36,916.7041814,545.6990983,1.68
37,887.9814271,514.7780633,1.725
38,871.0155567,513.6949158,1.696
39,864.8558363,527.9708699,1.638
40,858.991492,510.2979243,1.683
41,896.3239296,528.5304357,1.696
42,870.1947531,519.0723811,1.676
43,885.9122195,524.247087,1.69
44,896.7022923,532.1478507,1.685
45,890.6037868,536.7567591,1.659
46,841.3820566,518.8796677,1.622
47,864.3286632,518.0603177,1.668
48,874.167132,541.4274716,1.615
49,873.6748767,512.5591747,1.705
50,843.4891277,506.1374146,1.667
51,884.6035779,509.6563558,1.736
52,895.6223093,535.1306049,1.674
53,902.4036391,547.996061,1.647
54,897.0572457,528.1524774,1.698
55,874.3572684,487.4948311,1.794
56,894.4776587,547.796178,1.633
57,906.6085307,539.2133965,1.681
58,845.6342565,510.9113825,1.655
59,971.1471799,537.8643014,1.806
60,871.2572881,520.6020401,1.674
61,832.1531454,484.6487467,1.717
62,899.6133986,545.3374313,1.65
63,881.637699,541.9867778,1.627
64,862.204194,496.7232398,1.736
65,933.0654881,534.7256398,1.745
66,898.5475523,519.3146366,1.73
67,858.8938662,520.6182114,1.65
68,872.5666376,513.1316032,1.7
69,912.8349908,532.4749772,1.714
70,863.9701947,501.6241661,1.722
71,929.5539573,541.6615516,1.716
72,899.9440049,548.5461059,1.641
73,889.5215412,534.4060409,1.665
74,904.7838517,549.1213704,1.648
75,881.8579706,543.9169238,1.621
76,906.5463002,539.8270698,1.679
77,930.7972994,519.0593599,1.793
78,936.0652265,557.4802119,1.679
79,857.1880624,508.8343198,1.685
80,901.2627359,532.8153789,1.692
81,860.7559388,526.8176867,1.634
82,895.1795486,552.7101218,1.62
83,845.2381492,477.1377833,1.771
84,873.0503437,527.1873659,1.656
85,910.5332076,535.7434208,1.7
86,879.722986,529.7004458,1.661
87,938.0027654,521.487319,1.799
88,865.0241784,511.5157401,1.691
89,897.9800306,514.2901737,1.746
90,904.887459,546.6224137,1.655
91,862.5572757,519.285215,1.661
92,894.5313766,539.318081,1.659
93,844.0507174,500.7082056,1.686
94,910.2424109,546.365367,1.666
95,948.2665554,530.0941608,1.789
96,886.0155398,519.6692158,1.705
97,854.4490616,501.0328394,1.705
98,872.0814816,506.793113,1.721
99,834.3447987,506.6794135,1.647
,,,
,,,
,,,
,,,1.806
