,"Average WT, anticipation",WT_minimum,Ratio
0,799.4238094,490.5309493,1.63
1,1814.491247,524.0134971,3.463
2,788.1294009,512.8575538,1.537
3,809.537369,504.8548621,1.604
4,1678.052578,527.8061348,3.179
5,1481.140159,520.521792,2.845
6,807.0740413,522.0057019,1.546
7,1949.041978,516.5800473,3.773
8,3326.075453,538.3586092,6.178
9,4183.546037,545.6215709,7.667
10,775.5250326,499.2822521,1.553
11,772.3636547,503.3790957,1.534
12,2751.079556,521.9469929,5.271
13,1071.862735,515.4599345,2.079
14,1365.369149,494.2017197,2.763
15,857.1379836,503.9102064,1.701
16,813.2247282,500.70717,1.624
17,1858.298255,523.2526285,3.551
18,1991.167869,508.9512843,3.912
19,948.8959767,525.4432517,1.806
20,2978.774079,533.6038319,5.582
21,1696.639637,534.7436744,3.173
22,1840.550351,534.1976954,3.445
23,2572.588693,537.2743297,4.788
24,3112.93399,544.415108,5.718
25,1727.559979,532.5516186,3.244
26,2934.977272,537.3443873,5.462
27,2244.405687,522.4284322,4.296
28,967.3013284,519.4933816,1.862
29,1729.192053,519.2677506,3.33
30,990.3955077,505.9427438,1.958
31,772.2159418,493.6197106,1.564
32,4120.18919,537.7971222,7.661
33,1876.098129,528.3456394,3.551
34,775.2929965,508.8745801,1.524
35,2184.775028,513.9904296,4.251
36,2188.376494,540.6171681,4.048
37,2813.873763,535.857419,5.251
38,2078.360712,529.1574602,3.928
39,793.6275374,525.22641,1.511
40,1156.398071,532.0176923,2.174
41,2415.459047,543.8100844,4.442
42,1035.390713,501.1692303,2.066
43,956.3053704,483.2554992,1.979
44,1810.480454,507.4301801,3.568
45,862.6023722,517.5696867,1.667
46,825.2479594,517.5757356,1.594
47,776.2875165,490.060418,1.584
48,3280.670214,535.584121,6.125
49,1126.257145,510.5915091,2.206
50,1421.151997,524.7200985,2.708
51,831.6228796,487.7207849,1.705
52,2533.02264,541.9461904,4.674
53,930.5719602,518.2303684,1.796
54,830.9342859,510.3374258,1.628
55,859.8506932,501.4316837,1.715
56,1455.646056,518.6126933,2.807
57,3858.774758,537.5898406,7.178
58,1336.664609,527.3565385,2.535
59,1740.709586,512.3196208,3.398
60,3480.055248,566.893596,6.139
61,2879.851152,539.0946549,5.342
62,957.4268353,513.9940768,1.863
63,1652.058016,528.9338315,3.123
64,1759.572616,510.2914031,3.448
65,785.5212108,529.2867695,1.484
66,1297.135226,517.7434131,2.505
67,2590.234924,560.7993453,4.619
68,4174.051508,548.0274896,7.617
69,2357.502823,542.2369462,4.348
70,1687.792749,518.294157,3.256
71,2148.031034,523.19559,4.106
72,776.951714,508.4444936,1.528
73,1282.147469,534.8173592,2.397
74,763.5121155,509.8098693,1.498
75,1724.600587,508.6326232,3.391
76,778.1894828,513.8029055,1.515
77,832.4268836,508.7491354,1.636
78,1767.488037,526.382183,3.358
79,2553.368105,527.7802259,4.838
80,1110.601703,500.9115235,2.217
81,4537.038497,543.1760393,8.353
82,1448.503476,525.5211161,2.756
83,2329.234558,542.9973275,4.29
84,1423.110206,503.3789959,2.827
85,3666.332825,539.3283068,6.798
86,2531.514275,528.6778706,4.788
87,3639.424275,566.5609784,6.424
88,2028.575422,521.4154926,3.891
89,1477.798397,523.670161,2.822
90,1085.62086,511.5525075,2.122
91,853.6851888,496.9824341,1.718
92,1274.774192,505.9045317,2.52
93,832.3009843,480.9555984,1.731
94,1893.513295,526.2931187,3.598
95,2971.287117,532.6921978,5.578
96,3801.594983,530.6128432,7.165
97,1639.821531,523.2018244,3.134
98,3478.940616,538.3198608,6.463
99,1121.558695,521.38284,2.151
,,,
,,,
,,,
,,,8.353
