,"Average WT, anticipation",WT_minimum,Ratio
0,897.522723,540.1523841,1.662
1,896.0963864,528.3996921,1.696
2,800.6472453,475.221631,1.685
3,802.0442333,486.6098306,1.648
4,843.3529753,519.8977863,1.622
5,887.077304,507.657665,1.747
6,868.2409372,540.9410708,1.605
7,911.8313908,528.4310901,1.726
8,864.4955611,513.317933,1.684
9,851.5686267,522.185193,1.631
10,858.6804194,525.0543218,1.635
11,862.2576351,535.826699,1.609
12,832.3903667,512.337925,1.625
13,839.860934,515.673465,1.629
14,897.8584402,544.8389103,1.648
15,837.2686765,496.5154447,1.686
16,860.8524667,529.0139553,1.627
17,998.1593385,540.8034578,1.846
18,858.6867658,541.9056529,1.585
19,846.956629,520.1430839,1.628
20,823.4778652,515.2304604,1.598
21,887.6965362,520.9520775,1.704
22,874.4119963,547.2195746,1.598
23,897.3671934,509.1199163,1.763
24,847.9806159,517.7179964,1.638
25,911.3496931,518.5037582,1.758
26,922.0869063,533.2437371,1.729
27,990.7737343,533.423661,1.857
28,847.2192769,516.4475079,1.64
29,845.659057,527.5076204,1.603
30,831.3556694,492.9323351,1.687
31,836.298131,517.9000743,1.615
32,868.1062041,533.9568561,1.626
33,808.4511821,500.0660843,1.617
34,892.2588973,549.2409461,1.625
35,856.7465979,539.1215994,1.589
36,866.6505788,535.106667,1.62
37,877.6942533,537.65853,1.632
38,889.882611,549.4399292,1.62
39,922.0335952,504.8674711,1.826
40,818.9422614,506.6580519,1.616
41,840.0391148,498.5861244,1.685
42,871.8468561,528.0651464,1.651
43,832.7382909,511.4003801,1.628
44,842.18889,513.3673958,1.641
45,847.8653409,523.8856915,1.618
46,869.5014276,536.8243579,1.62
47,854.0815025,518.0467134,1.649
48,840.1746815,508.9959645,1.651
49,832.604067,496.669173,1.676
50,908.138455,563.3422707,1.612
51,880.1155622,527.2622002,1.669
52,854.442642,544.3595359,1.57
53,835.9058191,508.8095483,1.643
54,951.0856586,538.8727532,1.765
55,880.8400916,499.3663982,1.764
56,927.7241831,537.3513146,1.726
57,826.5833157,501.0576695,1.65
58,891.4264351,540.762001,1.648
59,862.8255658,521.3639058,1.655
60,855.3103849,512.3814867,1.669
61,834.178783,512.3866258,1.628
62,859.6079878,533.647844,1.611
63,851.1557367,531.260002,1.602
64,838.3442514,530.4574897,1.58
65,843.4595902,511.2992568,1.65
66,845.3684857,504.0837208,1.677
67,831.164605,523.4366811,1.588
68,836.3335463,514.2254754,1.626
69,831.8422485,521.0859056,1.596
70,847.1692859,527.3636027,1.606
71,841.5666295,516.678199,1.629
72,879.900196,537.0879736,1.638
73,856.2363526,521.6681216,1.641
74,857.9349345,497.3918988,1.725
75,875.8681252,552.3146693,1.586
76,890.9922541,530.6824064,1.679
77,858.2977925,533.9991276,1.607
78,845.8167303,514.177256,1.645
79,812.6809427,519.5450827,1.564
80,847.4469707,528.6960728,1.603
81,849.3376501,489.5057512,1.735
82,849.1881107,524.4175186,1.619
83,810.6055058,483.2547005,1.677
84,881.7404169,526.8736073,1.674
85,881.1177248,518.4340626,1.7
86,847.6244314,528.5392505,1.604
87,901.5757527,515.396293,1.749
88,839.1741009,534.1393782,1.571
89,863.5428831,531.4489114,1.625
90,860.4212862,534.67024,1.609
91,927.3893183,550.1149428,1.686
92,830.6795033,511.324203,1.625
93,840.5500149,532.9150548,1.577
94,828.232855,503.195894,1.646
95,878.7610417,505.4962059,1.738
96,852.1277133,512.8219208,1.662
97,843.6470195,529.7538664,1.593
98,950.5800126,507.0216184,1.875
99,901.4325446,530.5625754,1.699
,,,
,,,
,,,
,,,
,,,1.875
