Average Waiting Time_Default(s),Average Waiting Time_Anticipation(s),Difference(s),if Anticipation is better
6841.409055423488,904.6896508601243,5936.719404563364,1.0
6080.826287561321,916.0055835218333,5164.820704039487,1.0
7540.137319124916,916.4899130690884,6623.647406055828,1.0
6109.510126352885,922.3899807546765,5187.120145598208,1.0
6450.11624240098,918.9406957792233,5531.175546621756,1.0
6418.658642288526,917.5064894339156,5501.15215285461,1.0
6825.094081956977,914.8959869667634,5910.198094990214,1.0
6290.197282647543,913.3950152644038,5376.802267383139,1.0
7306.211178925958,920.5729597396737,6385.638219186284,1.0
5405.18548150984,920.4117419192776,4484.773739590562,1.0
6429.881427310648,914.2509745945387,5515.630452716109,1.0
6242.474877274705,917.5167228908725,5324.958154383833,1.0
7814.416032991048,913.1282887827341,6901.2877442083145,1.0
5325.218083709638,920.8306993431158,4404.387384366522,1.0
6943.671777097011,919.4986128864799,6024.173164210531,1.0
5894.535286285848,924.7181027379044,4969.817183547943,1.0
8053.647541095817,898.8857644487211,7154.761776647096,1.0
4170.001095679422,911.447311899158,3258.553783780264,1.0
4714.4665701529,916.5797964911762,3797.886773661724,1.0
6853.812160598886,914.4847816570133,5939.327378941873,1.0
7708.61887235028,927.521600310351,6781.0972720399295,1.0
6872.461804396615,905.124617163651,5967.3371872329635,1.0
5747.651887789888,914.3000820316223,4833.351805758266,1.0
4698.213672667501,916.4261656869396,3781.7875069805614,1.0
3080.207182357342,904.4626467855543,2175.7445355717878,1.0
5675.414237629954,917.1592961273365,4758.254941502618,1.0
7223.46549134472,923.3747339106724,6300.090757434048,1.0
4900.6369631172,915.6486787456436,3984.988284371557,1.0
5619.171668719309,912.1019088217573,4707.069759897552,1.0
5349.400772750221,909.7405089165794,4439.660263833642,1.0
6152.8237701170465,915.4166437180271,5237.407126399019,1.0
