,Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery = t.riderReachesRestaurant - t.orderIn
,72,2195,19,2305.860272,2910.336906,715.3369055,604.4766331,110.8602724
,73,2222,27,2346.169239,2872.398277,650.3982769,526.2290376,124.1692393
,74,2250,27,2542.277266,2711.280224,461.2802242,169.0029586,292.2772656
,75,2290,23,2461.711968,3040.684334,750.6843336,578.9723655,171.7119681
,76,2317,4,2702.316753,3273.771038,956.771038,571.4542851,385.3167528
,77,2347,27,2592.717317,3613.376418,1266.376418,1020.659101,245.7173173
,78,2373,9,2491.228592,2774.07484,401.0748401,282.846248,118.2285921
,79,2396,22,2680.675254,3421.7994,1025.7994,741.1241461,284.6752536
,80,2423,14,2671.809164,3251.776404,828.7764043,579.9672405,248.8091638
,81,2453,10,2727.186068,3047.506221,594.5062206,320.3201523,274.1860682
,82,2473,2,2627.184954,2953.402673,480.4026726,326.2177187,154.1849539
,83,2505,2,2821.442728,3727.656831,1222.656831,906.2141027,316.4427278
,84,2544,2,3010.661548,3487.707667,943.707667,477.0461194,466.6615476
,85,2565,13,3180.05203,3947.130905,1382.130905,767.0788747,615.0520303
,86,2579,5,2741.249807,3062.256038,483.2560379,321.0062305,162.2498074
,87,2606,16,2683.414469,3603.685081,997.6850813,920.2706124,77.41446893
,88,2643,16,3423.812397,3722.56313,1079.56313,298.7507322,780.8123974
,89,2674,31,2842.344884,3384.939576,710.9395763,542.5946922,168.3448841
,90,2702,8,2845.055933,3012.918973,310.9189725,167.8630394,143.0559331
,91,2736,8,3519.3039,4110.753814,1374.753814,591.4499133,783.3039002
,92,2768,6,2989.35266,3886.308066,1118.308066,896.9554058,221.3526598
,93,2796,6,3326.347056,3802.070715,1006.070715,475.7236593,530.3470562
,94,2822,8,2852.88689,3275.556975,453.5569745,422.6700841,30.88689042
,95,2854,19,2981.094453,3655.881086,801.881086,674.7866329,127.0944531
,96,2886,6,3466.993115,3847.657009,961.657009,380.6638937,580.9931153
,97,2906,4,3038.219514,3470.390777,564.3907768,432.1712623,132.2195144
,98,2929,2,3127.861761,3867.293976,938.2939756,739.4322146,198.861761
,99,2962,30,3216.656632,4007.980838,1045.980838,791.3242066,254.6566316
,100,2992,26,3050.309519,3582.854353,590.8543527,532.5448338,58.30951895
,101,3019,23,3153.201341,3602.214704,583.2147041,449.0133628,134.2013413
,102,3053,16,3154.390335,3404.839931,351.8399306,250.4495957,101.3903348
,103,3074,26,3190.361506,3704.423759,630.4237587,514.062253,116.3615057
,104,3113,6,3466.544905,4152.176001,1039.176001,685.6310961,353.5449052
,105,3140,11,3363.430079,3470.448769,330.4487685,107.01869,223.4300785
,106,3179,22,3325.863883,3855.643082,676.6430818,529.7791993,146.8638826
,107,3205,33,3248.185646,3935.136153,730.1361534,686.9505077,43.18564576
,108,3240,33,3522.311884,3726.4001,486.4001005,204.0882162,282.3118843
,109,3268,33,3745.765633,4671.565827,1403.565827,925.8001944,477.7656329
,110,3297,33,3775.289661,4793.67122,1496.67122,1018.381559,478.2896612
,111,3326,8,3677.318943,4445.189375,1119.189375,767.8704318,351.3189434
,112,3355,18,3404.729267,3543.42678,188.4267796,138.6975126,49.72926704
,113,3386,18,3881.969757,4630.624551,1244.624551,748.6547936,495.9697571
,114,3417,25,3471.147945,4057.022505,640.0225054,585.87456,54.14794548
,115,3448,25,3724.44891,4646.672311,1198.672311,922.2234003,276.4489103
,116,3480,25,4295.481453,4861.870895,1381.870895,566.389442,815.4814529
,117,3506,26,3688.482876,4396.78013,890.7801299,708.297254,182.4828759
,118,3532,10,3604.835431,4073.071483,541.0714825,468.2360516,72.83543094
,119,3559,16,3798.970832,4505.794713,946.7947134,706.8238819,239.9708316
,120,3587,23,3645.412327,3968.748066,381.7480663,323.3357388,58.41232747
,121,3627,13,3770.265488,4218.037751,591.0377514,447.7722635,143.2654878
,122,3664,25,4162.196748,4345.731486,681.7314861,183.5347379,498.1967483
,123,3698,25,3959.332274,4092.853808,394.8538078,133.5215338,261.3322739
,124,3721,9,3747.832816,4267.57987,546.5798696,519.7470539,26.83281573
,125,3753,10,4012.422435,5027.045518,1274.045518,1014.623083,259.4224354
,126,3779,9,3811.015621,4072.214779,293.2147789,261.1991577,32.01562119
,127,3807,9,4128.707942,4286.200799,479.2007991,157.492857,321.7079421
,128,3837,18,3953.846053,4488.098802,651.0988017,534.2527492,116.8460526
,129,3864,34,3968.048066,4633.243526,769.2435258,665.19546,104.0480658
,130,3896,34,4312.811708,4825.117281,929.117281,512.3055729,416.8117081
,131,3925,34,4378.186496,4962.010099,1037.010099,583.8236035,453.1864958
,132,3956,20,4081.399362,4213.255344,257.2553441,131.855982,125.399362
,133,3987,20,4233.00813,5261.570719,1274.570719,1028.562589,246.0081299
,134,4023,9,4161.708327,4892.331349,869.3313489,730.6230218,138.7083271
,135,4054,13,4233.513231,4577.549566,523.549566,344.0363353,179.5132307
,136,4079,3,4252.666347,4509.386038,430.3860383,256.7196915,173.6663468
,137,4112,3,4403.156315,5015.687131,903.687131,612.5308156,291.1563154
,138,4139,3,4600.566897,5291.673979,1152.673979,691.1070829,461.5668966
,139,4167,3,4844.180183,5476.740852,1309.740852,632.560669,677.1801828
,140,4209,4,4257.764741,4443.694836,234.6948358,185.9300944,48.76474136
,141,4243,4,4678.607622,5173.712661,930.712661,495.1050394,435.6076216
,142,4263,3,4635.193498,5112.52462,849.52462,477.331122,372.1934981
,143,4296,14,4366.213959,4725.024494,429.0244937,358.810535,70.21395873
,144,4327,14,4345.027756,4556.219612,229.2196123,211.1918559,18.02775638
,145,4348,14,5073.01862,5238.729212,890.7292115,165.7105911,725.0186205
,146,4377,25,4471.339811,4690.795957,313.7959573,219.456146,94.33981132
,147,4421,18,4665.624202,5440.180849,1019.180849,774.5566474,244.6242016
,148,4455,23,4815.188839,5377.342733,922.3427329,562.1538935,360.1888394
,149,4482,26,4814.520676,5122.678103,640.6781033,308.1574273,332.520676
,150,4510,16,4613.23759,4823.846232,313.8462319,210.6086418,103.2375901
,151,4542,34,4790.515593,4961.117469,419.1174688,170.6018757,248.5155931
,152,4567,33,5166.174432,5527.943696,960.9436955,361.7692635,599.174432
,153,4593,22,4641.826222,5250.011227,657.0112272,608.1850047,48.82622246
,154,4625,25,4883.816537,5635.170648,1010.170648,751.3541109,258.8165373
,155,4652,22,4912.101903,5216.302495,564.3024948,304.2005917,260.1019031
,156,4684,13,4759.894664,5288.940976,604.9409756,529.0463118,75.89466384
,157,4718,31,4780.169124,5684.107728,966.1077283,903.9386041,62.16912417
,158,4746,14,4955.0598,5104.545585,358.5455853,149.4857853,209.0598001
,159,4774,16,4788.21267,5755.717192,981.7171924,967.504522,14.2126704
,160,4800,31,5145.325933,5900.13783,1100.13783,754.8118971,345.325933
,161,4826,30,5120.730385,5339.842229,513.8422289,219.1118436,294.7303853
,162,4862,30,4985.081274,5613.135412,751.1354118,628.0541378,123.081274
,163,4890,34,5008.105885,5750.278371,860.2783714,742.1724867,118.1058847
,164,4923,23,4990.26812,5236.733128,313.7331279,246.4650077,67.26812024
,165,4957,20,5204.418674,5563.653972,606.6539724,359.2352989,247.4186735
,166,4987,26,5219.142198,5320.038184,333.0381838,100.895986,232.1421978
,167,5015,3,5400.564521,5640.274763,625.2747629,239.7102418,385.5645212
,168,5044,4,5468.340665,5637.766165,593.7661649,169.4254999,424.340665
,169,5075,14,5312.134983,5516.490066,441.4900658,204.3550831,237.1349827
,170,5093,22,5144.312766,5264.815878,171.8158784,120.503112,51.31276644
,171,5117,4,5397.973558,6028.459086,911.4590856,630.4855272,280.9735584
,172,5149,26,5220.048223,5705.403763,556.4037626,485.3555398,71.04822277
,173,5176,30,5238.289646,5436.997975,260.997975,198.708329,62.28964601
,174,5205,23,5409.36487,6028.859018,823.8590183,619.4941485,204.3648698
,175,5240,11,5334.641429,5537.826074,297.8260736,203.1846451,94.64142856
,176,5266,11,5786.946254,6557.496707,1291.496707,770.5504526,520.9462544
,177,5303,33,5525.409532,6230.415915,927.4159151,705.0063829,222.4095322
,178,5334,11,6108.690906,6984.847285,1650.847285,876.1563787,774.6909061
,179,5356,32,5439.006024,6081.778145,725.7781452,642.7721214,83.00602388
,180,5399,32,5695.249895,5919.894058,520.8940576,224.6441631,296.2498945
,181,5425,32,5769.135148,6041.753929,616.7539293,272.6187815,344.1351479
,182,5455,32,5591.682113,5929.695426,474.6954263,338.0133133,136.6821129
,183,5484,32,5530.957428,5643.762569,159.7625693,112.8051417,46.95742753
,184,5519,32,6200.01395,6418.538548,899.5385481,218.5245982,681.0139499
,185,5547,3,5663.726175,6127.196778,580.1967785,463.4706032,116.7261753
,186,5580,31,6093.471518,6795.215774,1215.215774,701.7442554,513.4715182
,187,5614,34,6031.905492,6319.893339,705.8933387,287.987847,417.9054917
,188,5657,15,5738.024688,6825.083104,1168.083104,1087.058416,81.0246876
,189,5681,15,6441.894211,6595.494341,914.494341,153.6001302,760.8942108
,190,5710,15,5976.552059,6190.517009,480.5170091,213.9649504,266.5520587
,191,5734,18,5801.535176,6130.808619,396.8086186,329.2734426,67.53517602
,192,5765,13,5847.462113,6103.262816,338.2628162,255.8007037,82.46211251
,193,5803,16,5959.339374,6154.472662,351.4726622,195.1332878,156.3393744
,194,5829,13,6157.202681,6769.007389,940.0073887,611.8047074,328.2026813
,195,5860,18,6078.487986,6904.288204,1044.288204,825.800218,218.4879859
,196,5882,9,5977.047357,6479.716234,597.7162337,502.6688771,95.04735662
,197,5915,9,6097.937148,6747.993299,832.9932991,650.0561514,182.9371477
,198,5937,16,6141.462309,6708.2224,771.2223995,566.7600903,204.4623092
,199,5972,15,6139.056877,6643.045964,671.0459637,503.9890872,167.0568765
,200,6002,3,6225.230822,6652.970229,650.9702289,427.7394066,223.2308222
,201,6035,32,6303.119376,7287.278916,1252.278916,984.1595399,268.1193764
,202,6074,34,6262.507349,7037.91047,963.9104698,775.403121,188.5073488
,203,6095,28,6409.391476,7045.058055,950.058055,635.6665793,314.3914757
,204,6123,28,6597.523972,7214.241898,1091.241898,616.7179258,474.523972
,205,6149,28,7096.236507,7187.236507,1038.236507,91,947.2365069
,206,6183,28,6452.180237,7052.950576,869.9505758,600.7703388,269.180237
,207,6207,28,6705.654189,7399.439458,1192.439458,693.7852694,498.6541888
,208,6222,28,6598.554113,7187.54053,965.5405305,588.9864175,376.554113
,209,6249,23,6348,7025.974926,776.9749258,677.9749258,99
,210,6284,6,6463.449157,6701.814423,417.8144231,238.3652659,179.4491571
,211,6319,6,7091.969598,7942.978999,1623.978999,851.0094007,772.9695984
,212,6348,28,6603.876924,7063.807353,715.8073531,459.9304295,255.8769235
,213,6374,33,6397.086793,7180.587271,806.5872714,783.5004786,23.08679276
,214,6412,15,6587.045708,6888.543635,476.5436353,301.497927,175.0457083
,215,6452,0,6704.126952,7410.323101,958.3231005,706.1961484,252.1269521
,216,6481,0,6774.462093,7237.889541,756.8895414,463.4274485,293.462093
,217,6516,0,7388.941006,8238.470876,1722.470876,849.52987,872.941006
,218,6554,0,7544.945004,7970.566901,1416.566901,425.6218979,990.9450035
,219,6589,0,7319.944594,7533.122923,944.1229234,213.1783291,730.9445943
,220,6623,0,7178.036035,7810.847223,1187.847223,632.8111883,555.0360349
,221,6653,30,6865.219226,7526.130718,873.1307181,660.9114918,212.2192263
,222,6687,11,6830.003496,7429.499952,742.4999518,599.4964554,143.0034965
,223,6712,6,7145.586208,7876.530803,1164.530803,730.9445943,433.5862083
,224,6739,30,6921.439031,7454.097458,715.097458,532.6584271,182.4390309
,225,6777,31,7313.295627,7638.681552,861.6815521,325.3859247,536.2956274
,226,6801,4,6833.062439,7280.862618,479.8626177,447.8001787,32.06243908
,227,6826,4,7286.440007,7646.453896,820.4538956,360.0138886,460.4400069
,228,6855,10,6892,7540.167417,685.1674166,648.1674166,37
,229,6890,10,7575.615052,8195.33273,1305.33273,619.7176777,685.6150523
,230,6919,20,7006.091905,7379.757531,460.7575314,373.6656259,87.09190548
,231,6951,20,7444.758038,7990.436515,1039.436515,545.6784768,493.7580379
,232,6974,23,7123.933319,7767.505381,793.5053813,643.5720628,149.9333185
,233,7000,7,7080.224684,7271.318902,271.3189021,191.0942176,80.22468448
,234,7040,7,7721.307566,8411.69369,1371.69369,690.3861238,681.3075664
,235,7071,7,7142.610055,7418.590127,347.5901269,275.9800717,71.61005516
,236,7094,7,7774.062497,8239.441912,1145.441912,465.3794151,680.0624971
,237,7121,7,7256.635541,7574.265829,453.2658293,317.6302882,135.6355411
,238,7157,7,7863.138797,8652.521467,1495.521467,789.3826702,706.1387966
,239,7186,30,7406.009091,7699.527404,513.5274036,293.5183129,220.0090907
,240,7221,10,7281.133186,7556.28587,335.2858704,275.1526849,60.13318551
,241,7244,32,7473.244411,7895.144873,651.1448732,421.9004622,229.2444111
,242,7286,20,7529.189227,7671.712909,385.712909,142.5236822,243.1892267
,243,7317,0,7512.133288,7939.241003,622.2410025,427.1077148,195.1332878
,244,7354,10,7460.850363,8027.571635,673.5716345,566.7212719,106.8503627
,245,7383,22,7439.938563,8094.083043,711.0830428,654.1444795,56.93856338
,246,7417,22,7699.349075,7749.349075,332.3490747,50,282.3490747
,247,7450,22,8162.152371,9031.295628,1581.295628,869.1432563,712.1523713
,248,7475,30,7568.300589,8126.695611,651.695611,558.3950215,93.30058949
,249,7505,20,7705.803386,8565.945816,1060.945816,860.1424301,200.8033864
,250,7530,28,8063.206339,8749.792095,1219.792095,686.5857558,533.206339
,251,7557,8,7589.249031,8141.709889,584.7098893,552.4608583,32.24903099
,252,7585,8,7808.651515,8346.570654,761.5706535,537.9191389,223.6515146
,253,7624,8,8115.318634,8754.518915,1130.518915,639.2002816,491.3186339
,254,7666,8,8286.918674,8939.967677,1273.967677,653.0490028,620.9186742
,255,7698,6,8100.973945,8510.688479,812.6884793,409.7145348,402.9739446
,256,7720,23,7906.59314,8232.606944,512.6069437,326.0138034,186.5931403
,257,7754,13,7776.203603,8256.21402,502.2140199,480.0104166,22.20360331
,258,7777,13,8455.663392,9295.008375,1518.008375,839.3449827,678.6633923
,259,7802,32,8024.697104,8361.425481,559.4254809,336.7283772,222.6971037
,260,7827,11,8011.05434,8293.523807,466.5238072,282.4694674,184.0543398
,261,7855,33,7876.095023,8107.993708,252.9937079,231.8986848,21.09502311
,262,7887,33,8118.898685,8586.011091,699.0110909,467.1124062,231.8986848
,263,7914,7,8282.571567,8876.875361,962.8753614,594.3037944,368.571567
,264,7943,11,8268,8990.675584,1047.675584,722.6755842,325
,265,7974,25,8129.467038,8425.575127,451.5751267,296.1080884,155.4670383
,266,8012,25,8081.856997,8318.07935,306.0793497,236.2223529,69.85699679
,267,8046,25,8482.405774,8978.587193,932.5871929,496.1814184,436.4057745
,268,8077,25,8396.31176,8635.150618,558.1506177,238.8388578,319.3117599
,269,8096,25,8257.245155,8769.108418,673.108418,511.863263,161.245155
,270,8124,0,8587.763949,9227.76473,1103.76473,640.0007812,463.7639486
,271,8150,23,8330.161039,8604.697011,454.6970112,274.5359721,180.1610391
,272,8187,33,8465.657496,8624.971651,437.9716509,159.3141551,278.6574959
,273,8216,22,8466.161948,8765.350851,549.3508511,299.1889035,250.1619475
,274,8250,32,8577.940543,9521.411264,1271.411264,943.4707203,327.9405434
,275,8273,6,8629.315871,9324.163336,1051.163336,694.8474653,356.3158711
,276,8305,33,8492.74717,9024.424704,719.4247043,531.6775338,187.7471704
,277,8342,4,8529.18173,8959.86723,617.86723,430.6855001,187.1817299
,278,8384,30,8453.634761,9074.732177,690.7321773,621.0974159,69.63476143
,279,8416,9,8474.855756,9426.614654,1010.614654,951.758898,58.85575588
,280,8453,9,8668.613079,9260.986273,807.9862726,592.3731932,215.6130794
,281,8485,4,8834.136077,9027.681937,542.6819368,193.5458602,349.1360766
,282,8515,9,8621.150836,8804.96052,289.9605203,183.8096842,106.1508361
,283,8548,22,8949.707605,9463.956572,915.956572,514.2489669,401.7076051
,284,8577,8,8856.034048,9199.498748,622.4987479,343.4646998,279.0340481
,285,8608,28,9052.146372,9609.599509,1001.599509,557.453137,444.1463723
,286,8644,25,8889.904453,9271.909689,627.9096886,382.0052356,245.904453
,287,8685,10,9063.272389,9400.100238,715.1002378,336.8278492,378.2723886
,288,8716,13,9009.155249,9910.918522,1194.918522,901.7632727,293.155249
,289,8750,9,8856.887792,9749.09965,999.0996499,892.2118582,106.8877916
,290,8779,10,8978.624648,9226.908759,447.9087592,248.2841115,199.6246478
,291,8804,4,9180.766506,9418.718182,614.7181817,237.9516758,376.7665059
,292,8841,11,9043.467281,9627.412484,786.4124842,583.9452029,202.4672813
,293,8872,8,9142.691707,9935.858146,1063.858146,793.166439,270.6917066
,294,8909,0,9121.084889,9970.546483,1061.546483,849.4615942,212.0848887
,295,8942,33,9175.908102,9260.931628,318.9316278,85.02352616,233.9081016
,296,8973,28,9284.718059,9844.222304,871.2223038,559.5042448,311.718059
,297,9007,15,9042.057096,9275.556561,268.556561,233.4994647,35.05709629
,298,9049,15,9947.018374,10898.50143,1849.501427,951.4830529,898.018374
,299,9083,10,9218.281189,9822.636217,739.6362167,604.3550281,135.2811886
,300,9107,25,9323.148097,9435.420089,328.4200885,112.2719912,216.1480974
,301,9128,15,9489.809342,9683.350035,555.3500355,193.5406934,361.8093421
,302,9157,4,9368.400095,10006.77694,849.7769426,638.376848,211.4000946
,303,9194,14,9333.517024,9548.191196,354.1911958,214.6741717,139.5170241
,304,9214,14,9514.567796,10199.88305,985.8830519,685.3152559,300.567796
,305,9247,14,9845.080262,10083.40147,836.401474,238.3212118,598.0802622
,306,9280,14,9937.194796,10314.64413,1034.64413,377.4493343,657.1947961
,307,9308,14,9676.978319,10609.94884,1301.948844,932.9705247,368.9783191
,308,9348,20,9449.651365,10145.11811,797.1181147,695.4667497,101.651365
,309,9378,23,9482.388697,10230.59321,852.5932142,748.2045175,104.3886967
,310,9401,22,9688.920128,10367.51868,966.5186837,678.5985558,287.9201278
,311,9426,15,9654.303319,10127.5411,701.5411024,473.2377838,228.3033186
,312,9453,33,9643.546582,9726.226689,273.2266887,82.68010643,190.5465822
,313,9480,34,9547.067131,10013.63438,533.6343819,466.5672513,67.06713055
,314,9508,34,10050.44355,10216.03642,708.0364197,165.5928742,542.4435454
,315,9532,34,9741.028706,10493.05264,961.052642,752.0239358,209.0287062
,316,9560,8,9776.746811,10554.05048,994.0504838,777.303673,216.7468108
,317,9595,20,9677.873397,10447.47134,852.4713444,769.597947,82.87339742
,318,9625,9,9927.120837,10391.93263,766.9326266,464.8117899,302.1208368
,319,9652,33,9862.375854,10438.90773,786.9077266,576.5318725,210.3758541
,320,9683,34,10346.54955,10773.16647,1090.16647,426.6169242,663.549546
,321,9717,23,10018.72835,10563.43745,846.4374513,544.7090967,301.7283547
,322,9737,20,10036.72024,10186.95339,449.9533927,150.2331521,299.7202405
,323,9763,13,10007.10039,10592.6275,829.6275021,585.527113,244.1003892
,324,9788,28,9985.254215,10143.78812,355.7881232,158.533908,197.2542151
,325,9825,18,10094.42903,10324.44859,499.4485903,230.0195644,269.4290259
,326,9856,18,10725.08285,11752.16902,1896.16902,1027.08617,869.0828499
,327,9880,18,10458.04931,10916.5534,1036.553395,458.5040894,578.0493059
,328,9910,2,9982.532751,10329.01507,419.015074,346.4823228,72.53275122
,329,9940,2,10234.53183,10929.48003,989.4800314,694.9481995,294.5318319
,330,9973,2,10647.18469,11645.1396,1672.139602,997.9549088,674.1846928
,331,10012,2,10612.23412,11115.86097,1103.860967,503.626846,600.234121
,332,10050,2,10692.60797,11301.91741,1251.917413,609.3094452,642.6079676
,333,10078,2,10709.88923,11091.90101,1013.901011,382.0117799,631.8892308
,334,10120,14,10535.30832,11059.05635,939.0563502,523.748031,415.3083192
,335,10148,2,10351.69094,10765.72597,617.725965,414.0350227,203.6909424
,336,10174,19,10263.1852,10658.61914,484.6191394,395.4339389,89.18520057
,337,10208,19,10653.13818,11151.58577,943.5857708,498.44759,445.1381808
,338,10239,19,10907.90732,11078.7552,839.7552035,170.8478856,668.9073179
,339,10268,19,10589.7903,10997.89446,729.8944578,408.1041534,321.7903044
