,Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery
,73,2222,32,2546.137317,3072.366354,850.3663542,526.2290376,324.1373166
,74,2250,11,2455.182845,2624.185804,374.1858038,169.0029586,205.1828453
,75,2290,24,2438.124947,3017.097313,727.0973127,578.9723655,148.1249473
,76,2317,13,2564.163913,3135.618198,818.6181984,571.4542851,247.1639132
,77,2347,19,2870.686929,3891.34603,1544.34603,1020.659101,523.6869294
,78,2373,25,2863.975559,3146.821807,773.8218075,282.846248,490.9755595
,79,2396,14,2490.92102,3232.045166,836.0451659,741.1241461,94.9210198
,80,2423,29,2741.452508,3321.419749,898.4197487,579.9672405,318.4525082
,81,2453,26,2921.62565,3241.945803,788.9458025,320.3201523,468.6256502
,82,2473,23,2745.058817,3071.276536,598.2765359,326.2177187,272.0588172
,83,2505,15,2764.030886,3670.244989,1165.244989,906.2141027,259.0308862
,84,2544,8,2627.006024,3104.052143,560.0521432,477.0461194,83.00602388
,85,2565,0,2871.53711,3638.615985,1073.615985,767.0788747,306.5371103
,86,2579,12,2836.720779,3157.72701,578.7270096,321.0062305,257.7207791
,87,2606,28,2781.071414,3701.342026,1095.342026,920.2706124,175.071414
,88,2643,21,3037.121809,3335.872541,692.8725408,298.7507322,394.1218086
,89,2674,34,2842.344884,3384.939576,710.9395763,542.5946922,168.3448841
,90,2702,4,2873.944759,3041.807798,339.807798,167.8630394,171.9447586
,91,2736,11,2952.813284,3544.263197,808.2631971,591.4499133,216.8132837
,92,2768,2,3303.70981,4200.665215,1432.665215,896.9554058,535.7098095
,93,2796,9,3106.266015,3581.989674,785.9896742,475.7236593,310.2660149
,94,2822,3,3114.330293,3537.000377,715.0003768,422.6700841,292.3302926
,95,2854,17,3326.978858,4001.765491,1147.765491,674.7866329,472.9788579
,96,2886,6,3674.650747,4055.31464,1169.31464,380.6638937,788.6507465
,97,2906,5,3528.388946,3960.560208,1054.560208,432.1712623,622.3889459
,98,2929,7,3488.177968,4227.610183,1298.610183,739.4322146,559.1779681
,99,2962,20,3266.726107,4058.050313,1096.050313,791.3242066,304.7261065
,100,2992,16,3270.354091,3802.898925,810.8989248,532.5448338,278.354091
,101,3019,24,3153.201341,3602.214704,583.2147041,449.0133628,134.2013413
,102,3053,1,3378.518049,3628.967644,575.9676444,250.4495957,325.5180487
,103,3074,18,3180.042444,3694.104697,620.1046974,514.062253,106.0424443
,104,3113,23,3538.333986,4223.965083,1110.965083,685.6310961,425.3339864
,105,3140,4,3227.321246,3334.339936,194.3399359,107.01869,87.32124598
,106,3179,33,3362.534738,3892.313937,713.3139371,529.7791993,183.5347379
,107,3205,13,3479.220714,4166.171222,961.1712217,686.9505077,274.220714
